id,latitude,longitude,hub_id,driver_id,num_items,created_at,started_at,completed_at
2389,37.7953,-122.4032,8,55,2,3/12/14 3:35,3/12/14 3:58,3/12/14 4:00
2390,37.75876,-122.42814,1,62,2,3/12/14 3:36,3/12/14 3:39,3/12/14 3:54
2391,37.77045,-122.45093,7,90,1,3/12/14 3:37,3/12/14 3:40,3/12/14 3:47
2392,37.78023,-122.39447,1,38,1,3/12/14 3:37,3/12/14 3:39,3/12/14 3:58
2393,37.78615,-122.41472,8,121,1,3/12/14 3:39,3/12/14 3:46,3/12/14 3:55
2394,37.78937,-122.391822,6,68,1,3/12/14 3:40,3/12/14 3:44,3/12/14 4:01
2395,37.79493,-122.44493,7,107,1,3/12/14 3:40,3/12/14 3:43,3/12/14 3:54
2396,37.78766,-122.39717,8,30,2,3/12/14 3:42,3/12/14 3:50,3/12/14 4:03
2397,37.77792,-122.39603,1,40,2,3/12/14 3:42,3/12/14 3:44,3/12/14 3:50
2398,37.775324,-122.450235,7,75,1,3/12/14 3:43,3/12/14 3:47,3/12/14 3:58
2399,37.77774,-122.40798,1,103,2,3/12/14 3:44,3/12/14 3:45,3/12/14 3:53
2400,37.76718,-122.40619,1,46,3,3/12/14 3:44,3/12/14 3:50,3/12/14 4:00
2401,37.78692,-122.43513,8,81,1,3/12/14 3:46,3/12/14 3:53,3/12/14 4:01
2402,37.7734,-122.41595,8,120,1,3/12/14 3:46,3/12/14 3:51,3/12/14 4:02
2403,37.766671,-122.41982,5,33,1,3/12/14 3:47,3/12/14 3:55,3/12/14 4:05
2404,37.80294,-122.43433,4,99,1,3/12/14 3:49,3/12/14 3:52,3/12/14 3:57
2405,37.77609,-122.43686,7,116,2,3/12/14 3:50,3/12/14 3:55,3/12/14 4:08
2406,37.799958,-122.442998,4,78,1,3/12/14 3:51,3/12/14 3:54,3/12/14 4:00
2407,37.77679,-122.39539,1,113,1,3/12/14 3:52,3/12/14 3:54,3/12/14 4:06
2408,37.785714,-122.399153,6,110,1,3/12/14 3:52,3/12/14 3:54,3/12/14 4:11
2409,37.74973,-122.420425,8,85,2,3/12/14 3:53,3/12/14 3:58,3/12/14 4:17
2410,37.786046,-122.392873,6,67,3,3/12/14 3:53,3/12/14 3:57,3/12/14 4:14
2411,37.7586,-122.4115,2,66,1,3/12/14 3:53,3/12/14 3:55,3/12/14 4:05
2412,37.79937,-122.41017,4,122,1,3/12/14 3:55,3/12/14 4:01,3/12/14 4:12
2413,37.76415,-122.44575,5,53,1,3/12/14 3:57,3/12/14 3:59,3/12/14 4:07
2414,37.79632,-122.40059,8,121,1,3/12/14 3:57,3/12/14 4:02,3/12/14 4:12
2415,37.78812,-122.43234,8,111,1,3/12/14 3:57,3/12/14 3:59,3/12/14 4:13
2416,37.80378,-122.43545,4,123,1,3/12/14 3:59,3/12/14 4:03,3/12/14 4:12
2417,37.77706,-122.44408,5,91,2,3/12/14 4:00,3/12/14 4:03,3/12/14 4:11
2418,37.75368,-122.44319,2,112,1,3/12/14 4:02,3/12/14 4:05,3/12/14 4:16
2419,37.7783,-122.42326,8,104,2,3/12/14 4:02,3/12/14 4:12,3/12/14 4:59
2420,37.80112,-122.40847,4,61,2,3/12/14 4:06,3/12/14 4:10,3/12/14 4:21
2421,37.78733,-122.44615,7,90,2,3/12/14 4:07,3/12/14 4:10,3/12/14 4:15
2422,37.79614,-122.42801,4,86,1,3/12/14 4:08,3/12/14 4:11,3/12/14 4:26
2423,37.788537,-122.399139,6,83,1,3/12/14 4:09,3/12/14 4:17,3/12/14 4:32
2424,37.800459,-122.42098,4,99,2,3/12/14 4:10,3/12/14 4:15,3/12/14 4:24
2425,37.760759,-122.403155,1,103,2,3/12/14 4:11,3/12/14 4:14,3/12/14 4:30
2426,37.788537,-122.399139,6,83,1,3/12/14 4:12,3/12/14 4:32,3/12/14 4:39
2427,37.79164,-122.41976,8,120,1,3/12/14 4:13,3/12/14 4:18,3/12/14 4:27
2428,37.78948,-122.40378,8,81,1,3/12/14 4:14,3/12/14 4:18,3/12/14 7:50
2429,37.765901,-122.43248,5,33,1,3/12/14 4:16,3/12/14 4:18,3/12/14 4:22
2430,37.764941,-122.436276,5,91,1,3/12/14 4:18,3/12/14 4:21,3/12/14 4:29
2431,37.764941,-122.436276,5,91,1,3/12/14 4:19,3/12/14 4:29,3/12/14 4:56
2432,37.782578,-122.410646,1,114,1,3/12/14 4:20,3/12/14 4:21,3/12/14 4:33
2433,37.78869,-122.44303,7,107,1,3/12/14 4:22,3/12/14 4:26,3/12/14 4:35
2434,37.771868,-122.432263,5,36,1,3/12/14 4:24,3/12/14 4:26,3/12/14 4:27
2435,37.80032,-122.405894,6,67,1,3/12/14 4:24,3/12/14 4:27,3/12/14 4:37
2436,37.80511,-122.42022,4,122,1,3/12/14 4:25,3/12/14 4:28,3/12/14 4:38
2437,37.79132,-122.39983,6,109,1,3/13/14 0:30,3/13/14 0:56,3/13/14 0:56
2438,37.73307,-122.44417,2,50,3,3/13/14 0:30,3/13/14 0:31,3/13/14 0:42
2439,37.770925,-122.439721,5,44,2,3/13/14 0:30,3/13/14 0:31,3/13/14 0:43
2440,37.77621,-122.393899,1,114,1,3/13/14 0:31,3/13/14 0:32,3/13/14 0:46
2441,37.78582,-122.42477,8,30,2,3/13/14 0:32,3/13/14 0:33,3/13/14 0:42
2442,37.73954,-122.41398,2,66,3,3/13/14 0:32,3/13/14 0:33,3/13/14 0:47
2443,37.79345,-122.39818,6,109,1,3/13/14 0:33,3/13/14 0:56,3/13/14 1:17
2444,37.75204,-122.41626,2,119,3,3/13/14 0:33,3/13/14 0:37,3/13/14 0:50
2445,37.74775,-122.43971,2,87,1,3/13/14 0:34,3/13/14 0:37,3/13/14 0:47
2446,37.78027,-122.47396,7,107,2,3/13/14 0:34,3/13/14 0:37,3/13/14 0:48
2447,37.80183,-122.40169,6,82,1,3/13/14 0:35,3/13/14 0:37,3/13/14 0:48
